Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
,,,,,,
"10,50,805",1uF,"C1, C7","Capacitor,0805","10,50,805",2,
"10,40,603",0.1uF,"C2, C5, C6, C8, C9, C10, C11","Capacitor,0603","10,40,603",7,
"22,30,603",22nF,C3,"Capacitor,0603","22,30,603",1,
"10,60,805",10uF,C4,"Capacitor,0805","10,60,805",1,
"20pF,0603",20pF,"C12, C13, C14, C15","Capacitor,0603","20pF,0603",4,
"LED,0603",,"D1, D2","LED,0603","LED,0603",2,
01x20 Header,,"JP1, JP4",01x20 Header,01x20 Header,2,
03X02 Header,,JP2,03x02 Header,03x02 Header,1,
01x04 Header,,JP3,01x04 Header,01x04 Header,1,
"20R,0603",20 Ohm,"R1, R2","Resistor,0603",20R.0603,2,
"4.7K,0603",4.7K Ohm,R3,"Resistor,0603","4.7K,0603",1,
"100k,0603",100K Ohm,"R4, R5","Resistor,0603","100k,0603",2,
"10k,0603",100K Ohm,R6,"Resistor,0603","100k,0603",1,
"510R,0603",510 Ohm,"R7, R8","Resistor,0603","510R,0603",2,
"1M,0603",1M Ohm,R9,"Resistor,0603","1M,0603",1,
Tactile Switch,"SMD Tactile Switch, 3x6x2.5mm model-4388",SW1,"SMD Tactile Switch, 3x6x2.5mm",Tactile Switch,1,
RT9193-33,Linear Voltage Regulator,U1,RT9193-33,RT9193-33,1,
Micro USB,Micro USB 10118192-0001LF,U2,Micro USB,Micro USB,1,
STM32F103C8T6TR,Integrated Circuit,U3,STM32,STM32F103C8T6TR,1,
8MHz,Crystal,Y1,8MHz Crystal,8MHz,1,
32.768KHz,Crystal,Y2,32.768KHz Crystal,32.768KHz,1,
